cod_ibge6,cidade,populacao
210005,Açailândia,112445
210010,Afonso Cunha,6524
210015,Água Doce do Maranhão,12571
210020,Alcântara,22097
210030,Aldeias Altas,26532
210040,Altamira do Maranhão,8128
210043,Alto Alegre do Maranhão,27053
210047,Alto Alegre do Pindaré,31919
210050,Alto Parnaíba,11190
210055,Amapá do Maranhão,6962
210060,Amarante do Maranhão,41435
210070,Anajatuba,26803
210080,Anapurus,15732
210083,Apicum-Açu,17239
210087,Araguanã,15426
210090,Araioses,46440
210095,Arame,32701
210100,Arari,29848
210110,Axixá,12130
210120,Bacabal,104949
210125,Bacabeira,17055
210130,Bacuri,18582
210135,Bacurituba,5644
210140,Balsas,94887
210150,Barão de Grajaú,18820
210160,Barra do Corda,88212
210170,Barreirinhas,62528
210177,Bela Vista do Maranhão,11209
210173,Belágua,7469
210180,Benedito Leite,5632
210190,Bequimão,21280
210193,Bernardo do Mearim,6043
210197,Boa Vista do Gurupi,9287
210200,Bom Jardim,41630
210203,Bom Jesus das Selvas,34028
210207,Bom Lugar,16294
210210,Brejo,36397
210215,Brejo de Areia,9188
210220,Buriti,28678
210230,Buriti Bravo,23884
210232,Buriticupu,72358
210235,Buritirana,15430
210237,Cachoeira Grande,9431
210240,Cajapió,11177
210250,Cajari,19379
210255,Campestre do Maranhão,14374
210260,Cândido Mendes,20178
210270,Cantanhede,21995
210275,Capinzal do Norte,10934
210280,Carolina,24322
210290,Carutapera,23807
210300,Caxias,164880
210310,Cedral,10675
210312,Central do Maranhão,8673
210315,Centro do Guilherme,13458
210317,Centro Novo do Maranhão,21622
210320,Chapadinha,79675
210325,Cidelândia,14697
210330,Codó,122859
210340,Coelho Neto,49435
210350,Colinas,41178
210355,Conceição do Lago-Açu,16237
210360,Coroatá,65296
210370,Cururupu,32695
210375,Davinópolis,12908
210380,Dom Pedro,23350
210390,Duque Bacelar,11349
210400,Esperantinópolis,17241
210405,Estreito,41946
210407,Feira Nova do Maranhão,8504
210408,Fernando Falcão,10360
210409,Formosa da Serra Negra,19089
210410,Fortaleza dos Nogueiras,12631
210420,Fortuna,15552
210430,Godofredo Viana,11819
210440,Gonçalves Dias,17934
210450,Governador Archer,10840
210455,Governador Edison Lobão,18296
210460,Governador Eugênio Barros,16828
210462,Governador Luiz Rocha,7807
210465,Governador Newton Bello,10180
210467,Governador Nunes Freire,25577
210470,Graça Aranha,6262
210480,Grajaú,69527
210490,Guimarães,12030
210500,Humberto de Campos,28717
210510,Icatu,27113
210515,Igarapé do Meio,14177
210520,Igarapé Grande,11320
210530,Imperatriz,258682
210535,Itaipava do Grajaú,16057
210540,Itapecuru Mirim,68203
210542,Itinga do Maranhão,26000
210545,Jatobá,10153
210547,Jenipapo dos Vieiras,16515
210550,João Lisboa,23632
210560,Joselândia,16168
210565,Junco do Maranhão,3432
210570,Lago da Pedra,50266
210580,Lago do Junco,10840
210594,Lago dos Rodrigues,8873
210590,Lago Verde,16257
210592,Lagoa do Mato,11250
210596,Lagoa Grande do Maranhão,11394
210598,Lajeado Novo,7550
210600,Lima Campos,11893
210610,Loreto,12157
210620,Luís Domingues,6951
210630,Magalhães de Almeida,19826
210632,Maracaçumé,21395
210635,Marajá do Sena,7792
210637,Maranhãozinho,16265
210640,Mata Roma,16829
210650,Matinha,23370
210660,Matões,33782
210663,Matões do Norte,16745
210667,Milagres do Maranhão,8464
210670,Mirador,21015
210675,Miranda do Norte,28381
210680,Mirinzal,14962
210690,Monção,33434
210700,Montes Altos,9160
210710,Morros,19433
210720,Nina Rodrigues,14454
210725,Nova Colinas,5384
210730,Nova Iorque,4683
210735,Nova Olinda do Maranhão,20928
210740,Olho d'Água das Cunhãs,19505
210745,Olinda Nova do Maranhão,14701
210750,Paço do Lumiar,122197
210760,Palmeirândia,19722
210770,Paraibano,21386
210780,Parnarama,34907
210790,Passagem Franca,19019
210800,Pastos Bons,19472
210805,Paulino Neves,16035
210810,Paulo Ramos,21040
210820,Pedreiras,39229
210825,Pedro do Rosário,25144
210830,Penalva,38470
210840,Peri Mirim,14318
210845,Peritoró,23196
210850,Pindaré-Mirim,32941
210860,Pinheiro,83387
210870,Pio XII,21485
210880,Pirapemas,18625
210890,Poção de Pedras,17873
210900,Porto Franco,23885
210905,Porto Rico do Maranhão,5975
210910,Presidente Dutra,47804
210920,Presidente Juscelino,12734
210923,Presidente Médici,7015
210927,Presidente Sarney,18918
210930,Presidente Vargas,11193
210940,Primeira Cruz,15315
210945,Raposa,30761
210950,Riachão,20195
210955,Ribamar Fiquene,7791
210960,Rosário,42740
210970,Sambaíba,5671
210975,Santa Filomena do Maranhão,7773
210980,Santa Helena,42130
210990,Santa Inês,89044
211000,Santa Luzia,72667
211003,Santa Luzia do Paruá,25254
211010,Santa Quitéria do Maranhão,25642
211020,Santa Rita,37855
211023,Santana do Maranhão,13386
211027,Santo Amaro do Maranhão,15846
211030,Santo Antônio dos Lopes,14528
211040,São Benedito do Rio Preto,18663
211050,São Bento,45211
211060,São Bernardo,28507
211065,São Domingos do Azeitão,7392
211070,São Domingos do Maranhão,34376
211080,São Félix de Balsas,4585
211085,São Francisco do Brejão,11798
211090,São Francisco do Maranhão,12210
211100,São João Batista,20665
211102,São João do Carú,15808
211105,São João do Paraíso,11177
211107,São João do Soter,18543
211110,São João dos Patos,25929
211120,São José de Ribamar,177687
211125,São José dos Basílios,7641
211130,São Luís,1101884
211140,São Luís Gonzaga do Maranhão,18856
211150,São Mateus do Maranhão,41529
211153,São Pedro da Água Branca,12690
211157,São Pedro dos Crentes,4668
211160,São Raimundo das Mangabeiras,18868
211163,São Raimundo do Doca Bezerra,5237
211167,São Roberto,6719
211170,São Vicente Ferrer,22247
211172,Satubinha,13914
211174,Senador Alexandre Costa,11141
211176,Senador La Rocque,14293
211178,Serrano do Maranhão,10253
211180,Sítio Novo,18081
211190,Sucupira do Norte,10636
211195,Sucupira do Riachão,5660
211200,Tasso Fragoso,8521
211210,Timbiras,29124
211220,Timon,169107
211223,Trizidela do Vale,21998
211227,Tufilândia,5840
211230,Tuntum,41832
211240,Turiaçu,35604
211245,Turilândia,25619
211250,Tutóia,58860
211260,Urbano Santos,33122
211270,Vargem Grande,56510
211280,Viana,52441
211285,Vila Nova dos Martírios,13392
211290,Vitória do Mearim,32764
211300,Vitorino Freire,31523
211400,Zé Doca,51714
